💘港澳台,#genre#
翡翠台,https://stream1.freetv.fun/e0810f349d52a45fd1faf771402e6a04596a8e2398155f25e1141dc4d7746e4d.ctv
翡翠台,https://stream1.freetv.fun/tvbfei-cui-1.ctv
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线新闻,https://stream1.freetv.fun/wu-xian-xin-wen-2.ctv
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线新闻,http://live.cooltv.top/tv/tvb.php?id=0&hq
Now新闻,https://stream1.freetv.fun/ccdc0e776ab754370eabb96134e7110e463d82380e600a3b6d9dda9c3c93fbe7.ctv
HOY咨询,https://stream1.freetv.fun/d5c81ae4d19a1ab075401c44ad989c4c0d0790faba4b674432c73307c901f81c.ctv

緯來體育,http://cdn9.1678520.xyz/xsj2.1.php?id=videoland-sport
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來體育,mitv://generationnexxxt.com:19806/79090c69d43040148deaa21d5e26c32a

五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19594820240419041339000523


🀄央视V4,#genre#


CCTV-1综合,http://61.143.227.162:10000/udp/239.77.1.17:5146
CCTV-2财经,http://61.143.227.162:10000/udp/239.77.1.158:5146
CCTV-3综艺,http://61.143.227.162:10000/udp/239.77.0.169:5146
CCTV-4中文国际,http://61.143.227.162:10000/udp/239.77.0.78:5146
CCTV-4中文国际,http://61.143.227.162:10000/udp/239.77.1.163:5146
CCTV-5体育,http://61.143.227.162:10000/udp/239.77.0.170:5146
CCTV-5＋,http://61.143.227.162:10000/udp/239.77.0.87:5146
CCTV-5＋,http://61.143.227.162:10000/udp/239.77.1.31:5146
CCTV-6电影,http://61.143.227.162:10000/udp/239.77.0.171:5146
CCTV-7国防军事,http://61.143.227.162:10000/udp/239.77.1.159:5146
CCTV-8电视剧,http://61.143.227.162:10000/udp/239.77.0.172:5146
CCTV-9纪录,http://61.143.227.162:10000/udp/239.77.0.135:5146
CCTV-9纪录,http://61.143.227.162:10000/udp/239.77.1.160:5146
CCTV-10科教,http://61.143.227.162:10000/udp/239.77.1.113:5146
CCTV-11戏曲,http://61.143.227.162:10000/udp/239.77.1.238:5146
CCTV-12社会与法,http://61.143.227.162:10000/udp/239.77.0.136:5146
CCTV-12社会与法,http://61.143.227.162:10000/udp/239.77.1.109:5146
CCTV-13新闻,http://61.143.227.162:10000/udp/239.77.0.188:5146
CCTV-13新闻,http://61.143.227.162:10000/udp/239.253.43.196:5146
CCTV-14少儿,http://61.143.227.162:10000/udp/239.77.0.133:5146
CCTV-14少儿,http://61.143.227.162:10000/udp/239.77.1.161:5146
CCTV-15音乐,http://61.143.227.162:10000/udp/239.77.1.239:5146
CCTV-16奥林匹克,http://61.143.227.162:10000/udp/239.77.0.165:5146
CCTV-16奥林匹克,http://61.143.227.162:10000/udp/239.77.1.76:5146
CCTV-17农业农村,http://61.143.227.162:10000/udp/239.77.1.121:5146
CCTV-4K超高清,http://61.143.227.162:10000/udp/239.77.0.194:5146
CCTV-4K超高清,http://61.143.227.162:10000/udp/239.77.0.174:5146
CCTV兵器科技,http://61.143.227.162:10000/udp/239.253.43.18:5146
CCTV兵器科技,http://61.143.227.162:10000/udp/239.253.43.9:5146
CCTV电视指南,http://61.143.227.162:10000/udp/239.253.43.19:5146
CCTV电视指南,http://61.143.227.162:10000/udp/239.253.43.10:5146
